"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.380132945633043 0.347059214278955
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.592018595488223 1.00556203612271
"3" "Utilities" 1.03054621724207 2.31784057976666
"4" "Construction" 4.91253095516916 5.44390757329889
"5" "Manufacturing" 14.6623608475678 18.020821464252
"6" "Wholesale Trade" 4.48497598313996 5.95407213561193
"7" "Retail Trade" 14.0621442953888 8.61122940645882
"8" "Transportation and Warehousing" 3.56888585354287 3.96197721100477
"9" "Information" 2.0034544928271 2.75527111224128
"10" "Finance and Insurance" 4.47185925243464 7.14650066261803
"11" "Real Estate and Rental and Leasing" 1.43079568737029 1.34381973930916
"12" "Professional, Scientific, and Technical Services" 5.68963418825409 9.47902348131876
"13" "Management of Companies and Enterprises" 1.24583717218421 2.63250847096491
"14" "Administrative and Support and Waste Management and Remediation Services" 8.75169713468801 5.97181548593079
"15" "Educational Services" 1.82177516031735 1.36296310752149
"16" "Health Care and Social Assistance" 14.9899638091743 16.7247459248995
"17" "Arts, Entertainment, and Recreation" 1.10609354120829 0.535510107696784
"18" "Accommodation and Food Services" 9.79050436982622 3.44758975089651
"19" "Other Services (except Public Administration)" 5.00087970381413 2.93564661107312
