"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.398498948566914 0.387812363193024
"2" "Mining, Quarrying, and Oil and Gas Extraction" 4.9698124460245 10.7145561299785
"3" "Utilities" 0.798934237991782 1.31703626729474
"4" "Construction" 6.99328864258633 11.3701642945652
"5" "Manufacturing" 4.62204562793598 3.642072947562
"6" "Wholesale Trade" 3.30455930818414 3.65649409644495
"7" "Retail Trade" 12.7364756272776 7.054994768848
"8" "Transportation and Warehousing" 6.8225033789148 8.48012887945528
"9" "Information" 2.57339700022074 2.90852480083693
"10" "Finance and Insurance" 2.85687730182519 3.2039688832075
"11" "Real Estate and Rental and Leasing" 1.76129564439487 1.45484153431014
"12" "Professional, Scientific, and Technical Services" 6.75976593511709 8.78270131355431
"13" "Management of Companies and Enterprises" 2.42313694964352 4.81762895005957
"14" "Administrative and Support and Waste Management and Remediation Services" 7.46846668912822 6.4189127111524
"15" "Educational Services" 1.30160832471662 0.684800802608076
"16" "Health Care and Social Assistance" 18.3770365464974 17.6697825738326
"17" "Arts, Entertainment, and Recreation" 1.88870687284824 0.677586653266033
"18" "Accommodation and Food Services" 10.1309353688148 4.4574577180423
"19" "Other Services (except Public Administration)" 3.80955700393852 2.2977315897447
