"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.069813686481259 0.0461004381660769
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.507859428033803 0.914544977215417
"3" "Utilities" 0.60466149264473 1.29134838425984
"4" "Construction" 5.56747750499941 6.14566937039199
"5" "Manufacturing" 6.47557083231034 9.32255506843037
"6" "Wholesale Trade" 4.33055702887944 6.29198599855374
"7" "Retail Trade" 13.4646236714315 8.27563026719826
"8" "Transportation and Warehousing" 3.72528642353387 3.74820219629942
"9" "Information" 2.08649212932681 3.13596147259663
"10" "Finance and Insurance" 6.14889900536581 8.8367682748491
"11" "Real Estate and Rental and Leasing" 1.98823756519849 2.03865061088117
"12" "Professional, Scientific, and Technical Services" 5.82372653276183 8.4467832490975
"13" "Management of Companies and Enterprises" 2.19294628750494 4.82241054839497
"14" "Administrative and Support and Waste Management and Remediation Services" 10.6926923343635 8.68748594760625
"15" "Educational Services" 3.64703886888709 2.4439749280196
"16" "Health Care and Social Assistance" 14.8965070666444 16.848062722576
"17" "Arts, Entertainment, and Recreation" 1.88342332583031 1.36294348650138
"18" "Accommodation and Food Services" 11.9490107072642 4.62648065884227
"19" "Other Services (except Public Administration)" 3.94053748104722 2.71188191594641
