"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.454155718999835 0.421602225405985
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.969628591780027 1.7526301308754
"3" "Utilities" 0.771778575582079 1.57486807110191
"4" "Construction" 4.40246944617325 4.83453420407734
"5" "Manufacturing" 15.8746023327089 17.6659785144286
"6" "Wholesale Trade" 4.43844217639106 6.22209304322652
"7" "Retail Trade" 14.0221089217481 8.83467867451349
"8" "Transportation and Warehousing" 5.03628442574953 5.62336018477847
"9" "Information" 2.33649014480046 3.78694674249475
"10" "Finance and Insurance" 3.71725025267777 5.57012950814832
"11" "Real Estate and Rental and Leasing" 1.32291759281118 1.12000509182516
"12" "Professional, Scientific, and Technical Services" 3.34106951423529 4.4834132336042
"13" "Management of Companies and Enterprises" 4.01034624774787 8.49513386078326
"14" "Administrative and Support and Waste Management and Remediation Services" 5.64792303470858 4.36672276729472
"15" "Educational Services" 1.76767134823136 0.926785705666238
"16" "Health Care and Social Assistance" 16.8841892697025 17.806034576142
"17" "Arts, Entertainment, and Recreation" 0.922414383369153 0.470659872926633
"18" "Accommodation and Food Services" 9.74901867005137 3.41424220317078
"19" "Other Services (except Public Administration)" 4.32408568459069 2.62722069975103
