"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.213791315526861 0.137374193953425
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.188831495972537 0.31656370074983
"3" "Utilities" 0 0
"4" "Construction" 4.37071685867894 4.4495100908663
"5" "Manufacturing" 8.78858947913882 9.86202690792456
"6" "Wholesale Trade" 6.22907694680802 8.64595990752947
"7" "Retail Trade" 11.8891425788581 6.21196017961253
"8" "Transportation and Warehousing" 3.39079882076626 2.87007480658768
"9" "Information" 4.14857214854713 8.6473367061648
"10" "Finance and Insurance" 4.53051220205518 8.06865662714738
"11" "Real Estate and Rental and Leasing" 2.12033396902512 1.99314763362631
"12" "Professional, Scientific, and Technical Services" 8.71557061945902 13.364372955516
"13" "Management of Companies and Enterprises" 2.20668583469636 4.53677861306053
"14" "Administrative and Support and Waste Management and Remediation Services" 9.01260250858153 6.71453738910949
"15" "Educational Services" 2.94635499394803 1.97824752713774
"16" "Health Care and Social Assistance" 13.4550489322092 13.1107973281148
"17" "Arts, Entertainment, and Recreation" 2.26230307567048 2.00894803701274
"18" "Accommodation and Food Services" 10.7969478147535 3.75306409293033
"19" "Other Services (except Public Administration)" 4.24237413047879 2.3652439267029
