"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0747125335801156 0.0536455826229954
"2" "Mining, Quarrying, and Oil and Gas Extraction" 1.42243625733924 2.99231634791986
"3" "Utilities" 0.437714258206713 0.7953195362836
"4" "Construction" 5.69347820000265 6.18065244890339
"5" "Manufacturing" 5.90676013347067 6.82458164721634
"6" "Wholesale Trade" 4.49031659743109 6.31292130532773
"7" "Retail Trade" 12.0199253071147 6.79098495846733
"8" "Transportation and Warehousing" 2.98408048322947 2.88838884372104
"9" "Information" 3.9311269312404 5.94538145334008
"10" "Finance and Insurance" 4.75925224591967 7.60431635713257
"11" "Real Estate and Rental and Leasing" 1.95883393432469 1.67860607675156
"12" "Professional, Scientific, and Technical Services" 8.7341456909141 13.847933551828
"13" "Management of Companies and Enterprises" 2.45677012952629 5.85743082729837
"14" "Administrative and Support and Waste Management and Remediation Services" 10.7258413510541 9.71074408717062
"15" "Educational Services" 2.23086418479588 1.42461384050299
"16" "Health Care and Social Assistance" 13.0080366322282 12.3716978529535
"17" "Arts, Entertainment, and Recreation" 2.33888053018882 1.33301191228379
"18" "Accommodation and Food Services" 12.0175183944615 4.36400319680872
"19" "Other Services (except Public Administration)" 4.80463974166459 3.02080407979533
