"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0230916588555829 0.0127788259466079
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.00300601476226522 0.003626934960045
"3" "Utilities" 0 0
"4" "Construction" 0.498246946845461 0.416926048096989
"5" "Manufacturing" 0.358535578917452 0.273033582473137
"6" "Wholesale Trade" 0.258722225106782 0.284369675895697
"7" "Retail Trade" 0.748087764700095 0.36128978821266
"8" "Transportation and Warehousing" 0.08341690965286 0.0597622383895775
"9" "Information" 0.0652441840446202 0.0614166505216619
"10" "Finance and Insurance" 0.214588462915342 0.413808799790932
"11" "Real Estate and Rental and Leasing" 0.127823945913596 0.119701861925554
"12" "Professional, Scientific, and Technical Services" 0.541150975725064 0.566998612221394
"13" "Management of Companies and Enterprises" 0.00573875545523361 0.0191031976995654
"14" "Administrative and Support and Waste Management and Remediation Services" 0.307774920545564 0.205337497768938
"15" "Educational Services" 0.097763798290944 0.0365011328584118
"16" "Health Care and Social Assistance" 0.808344696980048 0.616247824267705
"17" "Arts, Entertainment, and Recreation" 0.102751050055611 0.0708594531483197
"18" "Accommodation and Food Services" 0.606941707908278 0.16177525351619
"19" "Other Services (except Public Administration)" 0.879737547583847 0.409158943819984
