"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.172999699093328 0.118543820500759
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.057137647636844 0.0902018140368236
"3" "Utilities" 0.397121797385084 0.881462301406886
"4" "Construction" 4.18015048795638 4.22401031871079
"5" "Manufacturing" 4.07669398483811 5.03699358909265
"6" "Wholesale Trade" 4.17312548558345 5.57974707987859
"7" "Retail Trade" 13.9327146138225 8.74657886680949
"8" "Transportation and Warehousing" 3.03133901161246 3.21054955665687
"9" "Information" 2.14422690498014 3.65714771389703
"10" "Finance and Insurance" 4.84233269314934 8.08675744899167
"11" "Real Estate and Rental and Leasing" 2.11211672986284 2.04519449086534
"12" "Professional, Scientific, and Technical Services" 6.37363895988421 9.65276140274509
"13" "Management of Companies and Enterprises" 1.8948176831571 3.90311711554663
"14" "Administrative and Support and Waste Management and Remediation Services" 17.663827527104 16.7936727044944
"15" "Educational Services" 2.19976337137798 1.90384585087923
"16" "Health Care and Social Assistance" 14.4457705879451 16.4471645264535
"17" "Arts, Entertainment, and Recreation" 2.534929552353 1.81201545243694
"18" "Accommodation and Food Services" 11.4283229054602 5.04568591308809
"19" "Other Services (except Public Administration)" 4.33536409274619 2.76242912785962
