"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.221174208238216 0.182372243810587
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.149563196422989 0.19175393314565
"3" "Utilities" 0.715343278651778 1.41675498980815
"4" "Construction" 4.09474596966855 4.30017293093929
"5" "Manufacturing" 9.90116618591729 10.2917674570859
"6" "Wholesale Trade" 5.53994348982758 7.70645895752056
"7" "Retail Trade" 12.8787744725029 7.00962503988022
"8" "Transportation and Warehousing" 4.58375362036726 4.63027965351652
"9" "Information" 3.41405793767365 6.43822751045426
"10" "Finance and Insurance" 4.77965161891616 8.16502770666192
"11" "Real Estate and Rental and Leasing" 1.63847056811009 1.85693412742553
"12" "Professional, Scientific, and Technical Services" 6.70789903673161 10.2628447122767
"13" "Management of Companies and Enterprises" 3.44443657942393 7.68972584447763
"14" "Administrative and Support and Waste Management and Remediation Services" 9.73650215009998 7.15845871557667
"15" "Educational Services" 2.36030248868912 1.9895625189521
"16" "Health Care and Social Assistance" 13.5635031587889 13.6028674504479
"17" "Arts, Entertainment, and Recreation" 1.22924371928955 0.867145137734868
"18" "Accommodation and Food Services" 10.5823556129702 3.59829650599391
"19" "Other Services (except Public Administration)" 4.4527420410908 2.63879538197964
