"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0733607132043187 0.0268521412499155
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0 0
"3" "Utilities" 0 0
"4" "Construction" 0.782175582059343 1.11686667222614
"5" "Manufacturing" 0.296694297169821 0.237098694015212
"6" "Wholesale Trade" 0.439351418137776 0.497757875033814
"7" "Retail Trade" 0.824850789186509 0.503444889138081
"8" "Transportation and Warehousing" 0.227194674134151 0.170442695523083
"9" "Information" 0.0631999496026125 0.0672902184982268
"10" "Finance and Insurance" 0.111971614890802 0.153156269241174
"11" "Real Estate and Rental and Leasing" 0.251986937322314 0.270659939461866
"12" "Professional, Scientific, and Technical Services" 0.559858074454011 0.817593451662713
"13" "Management of Companies and Enterprises" 0 0.00709697428311256
"14" "Administrative and Support and Waste Management and Remediation Services" 0.36416176748515 0.265103962548942
"15" "Educational Services" 0.205857070570568 0.10713600764167
"16" "Health Care and Social Assistance" 0.779940214066968 0.899549352615998
"17" "Arts, Entertainment, and Recreation" 0.136357447534897 0.0843512608110269
"18" "Accommodation and Food Services" 1.3375629205286 0.510767247390303
"19" "Other Services (except Public Administration)" 0.76429263812034 0.595548310188933
