"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.663040264406038 0.638854071661645
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.55408618308336 1.08054168972537
"3" "Utilities" 0 0
"4" "Construction" 5.48942254336899 6.40313280636331
"5" "Manufacturing" 11.0339296780387 15.1898542205362
"6" "Wholesale Trade" 5.31870081371282 7.00899705426093
"7" "Retail Trade" 14.806819148376 10.4364966056777
"8" "Transportation and Warehousing" 3.45878578979558 3.39601494516265
"9" "Information" 2.34393036659606 2.93332812281939
"10" "Finance and Insurance" 4.33203857541526 5.85481330787225
"11" "Real Estate and Rental and Leasing" 1.26390784671902 1.035873650111
"12" "Professional, Scientific, and Technical Services" 6.30981842336559 9.64159975880167
"13" "Management of Companies and Enterprises" 1.33276358584488 2.96764708204498
"14" "Administrative and Support and Waste Management and Remediation Services" 6.8398050977549 4.99920791478583
"15" "Educational Services" 2.35122097426821 1.36131303588228
"16" "Health Care and Social Assistance" 16.7716379160203 17.9421359172787
"17" "Arts, Entertainment, and Recreation" 1.83784068402101 0.844529264240025
"18" "Accommodation and Food Services" 10.8964207166667 4.21483055028083
"19" "Other Services (except Public Administration)" 3.6244445974572 2.40232146572515
