"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0612437860836927 0.0691411315683862
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.239762060529076 0.399150133318745
"3" "Utilities" 0.583228673711891 1.24634418950493
"4" "Construction" 4.48902228016306 6.15235883089548
"5" "Manufacturing" 18.1403776023635 23.3121286685178
"6" "Wholesale Trade" 4.43764753823061 6.01517511297283
"7" "Retail Trade" 12.3204669649665 7.21459687488867
"8" "Transportation and Warehousing" 4.58592196769639 4.48610651809413
"9" "Information" 1.64534475595605 2.11278134683469
"10" "Finance and Insurance" 3.85907482486426 5.87991058865259
"11" "Real Estate and Rental and Leasing" 1.27318628457548 1.21398475947593
"12" "Professional, Scientific, and Technical Services" 4.14559546151312 5.93531438723735
"13" "Management of Companies and Enterprises" 2.20616910766331 5.31285559444584
"14" "Administrative and Support and Waste Management and Remediation Services" 7.04920355221918 5.11321230762705
"15" "Educational Services" 2.64402835280878 1.77499725338616
"16" "Health Care and Social Assistance" 15.8382240814228 16.2139404665342
"17" "Arts, Entertainment, and Recreation" 1.34219000456841 0.935527123778587
"18" "Accommodation and Food Services" 10.1904645932123 3.55477092116909
"19" "Other Services (except Public Administration)" 4.94697776440681 3.05672663763772
