"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.187293131142295 0.254006091226529
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.15946583968079 0.209816995156177
"3" "Utilities" 0.601765177855041 1.18934025550855
"4" "Construction" 4.39655745485408 5.98075072389295
"5" "Manufacturing" 15.8750832886293 20.6101548009679
"6" "Wholesale Trade" 5.17278429056639 6.72677601389142
"7" "Retail Trade" 13.5966465021868 8.10895348844811
"8" "Transportation and Warehousing" 4.26283185977519 4.28661404427499
"9" "Information" 2.30031212945256 2.79742577523067
"10" "Finance and Insurance" 7.05406378942779 11.6641336951327
"11" "Real Estate and Rental and Leasing" 1.00572469223789 1.04388746038938
"12" "Professional, Scientific, and Technical Services" 3.85639880837354 5.28463915187009
"13" "Management of Companies and Enterprises" 1.28685763403092 2.58429699845121
"14" "Administrative and Support and Waste Management and Remediation Services" 6.00551598755193 4.56737181259917
"15" "Educational Services" 3.5492937278831 2.36923958388496
"16" "Health Care and Social Assistance" 16.325267026051 16.1007565326884
"17" "Arts, Entertainment, and Recreation" 1.62480462922453 0.743735032626667
"18" "Accommodation and Food Services" 8.86245124426642 3.06240303691805
"19" "Other Services (except Public Administration)" 3.87178111670921 2.41352266018644
