"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.067182970439493 0.0602788032785074
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.905471268259309 1.31643802000663
"3" "Utilities" 0.655959711377727 1.37136031534067
"4" "Construction" 4.9466768234622 5.99298299651869
"5" "Manufacturing" 13.5854193557488 16.8936126043653
"6" "Wholesale Trade" 5.42762577851132 7.32325847933234
"7" "Retail Trade" 12.928137144953 7.47620947449829
"8" "Transportation and Warehousing" 4.30411843952122 4.35224711976424
"9" "Information" 3.38030851266425 5.55944351254313
"10" "Finance and Insurance" 5.19601204708803 7.91781989819697
"11" "Real Estate and Rental and Leasing" 1.33166874739908 1.16435309960044
"12" "Professional, Scientific, and Technical Services" 5.23286569753909 7.57661494658226
"13" "Management of Companies and Enterprises" 1.8023903736149 4.02216081398924
"14" "Administrative and Support and Waste Management and Remediation Services" 6.31396488852211 4.89003350108726
"15" "Educational Services" 1.77347171967244 1.1148202011258
"16" "Health Care and Social Assistance" 17.0456949998942 16.696283499991
"17" "Arts, Entertainment, and Recreation" 1.25655078045099 0.557289507874834
"18" "Accommodation and Food Services" 9.4215740211741 3.04405983221567
"19" "Other Services (except Public Administration)" 4.4199693885468 2.66884774256627
