"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.229340222662536 0.218475948020173
"2" "Mining, Quarrying, and Oil and Gas Extraction" 3.31050269965857 6.21847179492675
"3" "Utilities" 0 0
"4" "Construction" 7.84427488715439 9.87599226078302
"5" "Manufacturing" 7.74526510659364 11.7303499252755
"6" "Wholesale Trade" 4.61252996748733 5.92166792413913
"7" "Retail Trade" 13.6173722025784 7.92957532688439
"8" "Transportation and Warehousing" 4.15384952216226 5.31528143357698
"9" "Information" 1.48636304478186 1.82331837362945
"10" "Finance and Insurance" 3.90486546711574 5.2852586341106
"11" "Real Estate and Rental and Leasing" 1.91670285267369 2.20804875023036
"12" "Professional, Scientific, and Technical Services" 5.29799632909683 7.50760506190062
"13" "Management of Companies and Enterprises" 1.39544190108509 3.1745374829823
"14" "Administrative and Support and Waste Management and Remediation Services" 6.3441672413856 4.97934700040867
"15" "Educational Services" 2.30574804078619 1.86718433378813
"16" "Health Care and Social Assistance" 17.3949480685187 15.8873699070713
"17" "Arts, Entertainment, and Recreation" 1.41672778756929 1.04105708948222
"18" "Accommodation and Food Services" 11.7308953087123 4.643785764796
"19" "Other Services (except Public Administration)" 4.57713457910504 3.0177248073462
