"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.676200296607906 0.777135029233104
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0 0
"3" "Utilities" 0 0.00586382277753273
"4" "Construction" 0.768222694202178 0.745527726198857
"5" "Manufacturing" 0.384316754238576 0.322066679454561
"6" "Wholesale Trade" 0.233342508185474 0.234579958254342
"7" "Retail Trade" 1.27208640245831 0.734979336516026
"8" "Transportation and Warehousing" 0.172541995489259 0.150192840791694
"9" "Information" 0.105168454393453 0.0886822053642727
"10" "Finance and Insurance" 0.146455289028383 0.17767274827312
"11" "Real Estate and Rental and Leasing" 0.154260760252897 0.153573734920806
"12" "Professional, Scientific, and Technical Services" 0.648470333047133 0.769307583145383
"13" "Management of Companies and Enterprises" 0 0
"14" "Administrative and Support and Waste Management and Remediation Services" 0.325159498642259 0.242115295089308
"15" "Educational Services" 0.10537386153094 0.0664386267100157
"16" "Health Care and Social Assistance" 0.876883069932914 0.924990996002755
"17" "Arts, Entertainment, and Recreation" 0.14522284620346 0.100545086684503
"18" "Accommodation and Food Services" 0.819574478573981 0.444698471305729
"19" "Other Services (except Public Administration)" 0.845250370759883 0.543588272224619
