"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0444143393274108 0.0296499021414405
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.0634158715292006 0.0749633689700364
"3" "Utilities" 0.565446573173553 1.31525213121421
"4" "Construction" 6.44179816749038 7.05093012874391
"5" "Manufacturing" 4.79358946841239 5.79393803425436
"6" "Wholesale Trade" 3.92393254595444 5.22836681197568
"7" "Retail Trade" 13.1760526802381 6.91313023477753
"8" "Transportation and Warehousing" 2.98263659499976 2.58231797733271
"9" "Information" 2.49802783608321 3.88012543430954
"10" "Finance and Insurance" 4.62633881822549 8.08371207330964
"11" "Real Estate and Rental and Leasing" 2.01379074527819 2.27496986444802
"12" "Professional, Scientific, and Technical Services" 11.4710252186105 19.0262135789658
"13" "Management of Companies and Enterprises" 2.24942832798596 4.27822419524753
"14" "Administrative and Support and Waste Management and Remediation Services" 8.62725312177984 6.68174559426357
"15" "Educational Services" 3.80053873292766 3.258426595966
"16" "Health Care and Social Assistance" 16.4085431632115 15.3722021741417
"17" "Arts, Entertainment, and Recreation" 1.68198403871295 1.02768698909201
"18" "Accommodation and Food Services" 9.42099683245852 3.41373160479075
"19" "Other Services (except Public Administration)" 5.20651274031828 3.71236493563437
