"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0380777081699412 0.0219870596814527
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.00174577727768762 0.00240811753100443
"3" "Utilities" 0.0011528717871522 0.00154288067123078
"4" "Construction" 0.621727285214222 0.519317587515534
"5" "Manufacturing" 0.152146136710172 0.136116361439694
"6" "Wholesale Trade" 0.194802392834803 0.218683277121028
"7" "Retail Trade" 0.596067653151606 0.295385745507299
"8" "Transportation and Warehousing" 0.084752545952646 0.0603691745763881
"9" "Information" 0.0540202780265602 0.0632517582172884
"10" "Finance and Insurance" 0.181494958491675 0.270187092838668
"11" "Real Estate and Rental and Leasing" 0.185777053701097 0.165626768172707
"12" "Professional, Scientific, and Technical Services" 0.709279662649952 0.799846540805546
"13" "Management of Companies and Enterprises" 0.00326098019794479 0.0056832035499208
"14" "Administrative and Support and Waste Management and Remediation Services" 0.253928245918752 0.253034161709987
"15" "Educational Services" 0.0622221373123001 0.03981878904035
"16" "Health Care and Social Assistance" 0.374650391630546 0.330635345100039
"17" "Arts, Entertainment, and Recreation" 0.0718403819365413 0.0692535813446575
"18" "Accommodation and Food Services" 0.306993287321671 0.183117366788358
"19" "Other Services (except Public Administration)" 0.629303299815508 0.323481412051317
