"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.102836240442498 0.0795877461348621
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.227481342539011 0.449749854802654
"3" "Utilities" 0 0
"4" "Construction" 3.90398779671238 5.28743744650737
"5" "Manufacturing" 11.9718153720628 13.8066308335548
"6" "Wholesale Trade" 5.21231793530951 7.94098643414918
"7" "Retail Trade" 11.7109555869184 6.0375566819836
"8" "Transportation and Warehousing" 3.192519036395 2.83171876864398
"9" "Information" 2.4678682099762 3.74602791984212
"10" "Finance and Insurance" 6.21383246198667 11.1097616287686
"11" "Real Estate and Rental and Leasing" 1.42656561222231 1.26506777079692
"12" "Professional, Scientific, and Technical Services" 5.35417631638249 8.14848367204691
"13" "Management of Companies and Enterprises" 5.3632868574801 9.97023583350154
"14" "Administrative and Support and Waste Management and Remediation Services" 6.44187817432819 4.75329603993795
"15" "Educational Services" 2.87687506827867 1.67566678163248
"16" "Health Care and Social Assistance" 17.8486787498241 15.4238206519627
"17" "Arts, Entertainment, and Recreation" 1.68234606914417 1.04568738951161
"18" "Accommodation and Food Services" 8.89470996028046 2.89973285063741
"19" "Other Services (except Public Administration)" 4.56087393470161 2.4186602574661
