"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.54141307696773 0.548396698868009
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.724153944389621 1.55511385367179
"3" "Utilities" 1.03192216154427 2.05326968735216
"4" "Construction" 4.58158257833187 5.56433683757138
"5" "Manufacturing" 15.6364561890771 19.5560828100732
"6" "Wholesale Trade" 3.91815620381244 5.19988909012638
"7" "Retail Trade" 15.3446512853258 9.80087845617133
"8" "Transportation and Warehousing" 3.74445749293372 4.3142413190805
"9" "Information" 1.45121030939804 1.83842469140933
"10" "Finance and Insurance" 3.73988059888101 5.21193874168172
"11" "Real Estate and Rental and Leasing" 1.12546941071931 1.06798492379186
"12" "Professional, Scientific, and Technical Services" 3.38511549401432 4.72490043502058
"13" "Management of Companies and Enterprises" 0.872400659072744 1.81442572114802
"14" "Administrative and Support and Waste Management and Remediation Services" 5.45219713240843 3.92192693185804
"15" "Educational Services" 2.00925648914271 1.31082925779681
"16" "Health Care and Social Assistance" 18.1683716527276 22.4148602141705
"17" "Arts, Entertainment, and Recreation" 0.982246116337949 0.543949688060316
"18" "Accommodation and Food Services" 12.9734852713317 5.79799262449988
"19" "Other Services (except Public Administration)" 4.31154582922157 2.7571725931177
