"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.075509462602775 0.0806244947201236
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.157483776455788 0.209980338994216
"3" "Utilities" 0.725701102343336 1.5070864273394
"4" "Construction" 4.55978888381757 5.63735886910877
"5" "Manufacturing" 10.6696767014088 12.4742163684088
"6" "Wholesale Trade" 5.17752697028194 6.53929793750878
"7" "Retail Trade" 13.1367070375078 7.77819725266212
"8" "Transportation and Warehousing" 3.49692423927018 3.33957335732837
"9" "Information" 2.45918631658204 3.80427507029992
"10" "Finance and Insurance" 5.52287932406963 8.73001315524054
"11" "Real Estate and Rental and Leasing" 1.49066540127978 1.43656884137062
"12" "Professional, Scientific, and Technical Services" 6.02269852372967 9.3886185612776
"13" "Management of Companies and Enterprises" 3.07330408634628 6.82449528657204
"14" "Administrative and Support and Waste Management and Remediation Services" 6.3782222434844 4.84908607215525
"15" "Educational Services" 3.25138918878616 2.81774007422363
"16" "Health Care and Social Assistance" 17.0916875373615 16.5145535814594
"17" "Arts, Entertainment, and Recreation" 1.6254790993514 1.4260863982827
"18" "Accommodation and Food Services" 10.2810098442445 3.70177412700592
"19" "Other Services (except Public Administration)" 4.7755856185505 2.93487321992266
