"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.313516091693278 0.361192460953968
"2" "Mining, Quarrying, and Oil and Gas Extraction" 2.19461264185294 5.12193137637708
"3" "Utilities" 0.849518092612304 1.97607973880327
"4" "Construction" 6.16940338876577 8.41959305251168
"5" "Manufacturing" 4.71699210683977 5.99541120421016
"6" "Wholesale Trade" 4.18738839350632 5.60861699489993
"7" "Retail Trade" 16.2795702677393 11.5663280892236
"8" "Transportation and Warehousing" 3.46496355884389 3.793113979438
"9" "Information" 2.6753567045329 3.54688960632117
"10" "Finance and Insurance" 4.66900494994794 6.65515892056029
"11" "Real Estate and Rental and Leasing" 1.55478388329523 1.37302100714737
"12" "Professional, Scientific, and Technical Services" 5.23147259497095 7.02793653021179
"13" "Management of Companies and Enterprises" 0.953054018997098 1.68377558397521
"14" "Administrative and Support and Waste Management and Remediation Services" 0.465330006223789 0.434926842352039
"15" "Educational Services" 0.0843410636280617 0.048326139519685
"16" "Health Care and Social Assistance" 0.818980810953868 0.888253626753095
"17" "Arts, Entertainment, and Recreation" 0.225685053018538 0.207590384141488
"18" "Accommodation and Food Services" 0.556941851199097 0.40611120379791
"19" "Other Services (except Public Administration)" 1.07258566434583 0.715090569024308
