"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.14237023838766 0.176911957587765
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.129416379787581 0.168212092686174
"3" "Utilities" 0 0
"4" "Construction" 4.66045614691142 5.3957501112691
"5" "Manufacturing" 11.3395145235974 12.6114798199213
"6" "Wholesale Trade" 5.0683804866007 6.81688454403302
"7" "Retail Trade" 13.0172836247341 8.07476338084754
"8" "Transportation and Warehousing" 4.21147051958416 4.2252102296673
"9" "Information" 2.46807668195466 3.6853396563065
"10" "Finance and Insurance" 7.37221201800342 12.1761084568453
"11" "Real Estate and Rental and Leasing" 1.27167785464549 1.26610290323724
"12" "Professional, Scientific, and Technical Services" 9.56080309035072 11.9953743565101
"13" "Management of Companies and Enterprises" 2.216576295172 4.75892378165261
"14" "Administrative and Support and Waste Management and Remediation Services" 6.43941199258453 4.8789604906081
"15" "Educational Services" 2.45231208045079 1.68219024849442
"16" "Health Care and Social Assistance" 15.0281868630765 15.6817601392735
"17" "Arts, Entertainment, and Recreation" 1.63108632769107 0.654525402833522
"18" "Accommodation and Food Services" 8.52168365944061 2.78028272197693
"19" "Other Services (except Public Administration)" 4.34113131179815 2.70482927578588
