"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0628821250508117 0.067795734708628
"2" "Mining, Quarrying, and Oil and Gas Extraction" 3.13066706486482 6.32951577768897
"3" "Utilities" 0.816803962071626 1.76103587485943
"4" "Construction" 6.08181312892495 6.76112434487507
"5" "Manufacturing" 4.62092365379989 6.27370817691715
"6" "Wholesale Trade" 3.60518653094746 4.65963976439452
"7" "Retail Trade" 15.4192279933302 10.1321491815362
"8" "Transportation and Warehousing" 2.79518512066234 3.1319011080378
"9" "Information" 1.98750653293845 2.31602883657819
"10" "Finance and Insurance" 3.77475257791825 5.50315668164878
"11" "Real Estate and Rental and Leasing" 1.58864471599346 1.65667700187092
"12" "Professional, Scientific, and Technical Services" 7.1358768240379 12.3635551077046
"13" "Management of Companies and Enterprises" 1.05771384485204 1.70332482829668
"14" "Administrative and Support and Waste Management and Remediation Services" 5.84770579793103 4.45694066039024
"15" "Educational Services" 2.86221514314394 2.42159858705342
"16" "Health Care and Social Assistance" 19.0599205262852 20.5251329909871
"17" "Arts, Entertainment, and Recreation" 2.13832408352206 1.28320842677793
"18" "Accommodation and Food Services" 13.5491899156318 5.61055391881062
"19" "Other Services (except Public Administration)" 4.46147847656023 3.04035698276854
