"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0430753782064524 0.0228632782863471
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.0596703165385235 0.0647759318833609
"3" "Utilities" 0.556393610234128 0.875130390975537
"4" "Construction" 4.00227829711583 4.11122252890481
"5" "Manufacturing" 5.70163174296743 4.96292462712774
"6" "Wholesale Trade" 4.76752463203636 5.35186018055083
"7" "Retail Trade" 11.9750477766157 5.34064576103109
"8" "Transportation and Warehousing" 3.04059235725012 2.14566954654666
"9" "Information" 3.55029781562177 5.61472602360006
"10" "Finance and Insurance" 7.00032462028492 22.1676454444946
"11" "Real Estate and Rental and Leasing" 2.15398064797279 1.97681188597805
"12" "Professional, Scientific, and Technical Services" 7.70535806093836 11.0437470849359
"13" "Management of Companies and Enterprises" 2.41484143298219 5.27107749728239
"14" "Administrative and Support and Waste Management and Remediation Services" 6.99376075312965 5.52320098342704
"15" "Educational Services" 5.2569429768011 3.49617429435237
"16" "Health Care and Social Assistance" 18.9470789533967 14.5521819497606
"17" "Arts, Entertainment, and Recreation" 2.09368835208689 1.58747907404854
"18" "Accommodation and Food Services" 8.93281445257679 3.20985205168128
"19" "Other Services (except Public Administration)" 4.79834569373922 2.67812297936231
