"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.144056756393134 0.121419964187589
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.0812314242407338 0.102046913826894
"3" "Utilities" 0.587831514749783 1.33798024570924
"4" "Construction" 4.84551561072279 4.86212668198656
"5" "Manufacturing" 12.1926488395063 13.3742807643583
"6" "Wholesale Trade" 5.07981293205467 7.70063200326418
"7" "Retail Trade" 13.4799715167962 7.74902656602666
"8" "Transportation and Warehousing" 3.14979844285058 3.06554940936956
"9" "Information" 2.23987523235081 3.55946250439303
"10" "Finance and Insurance" 4.92958103617647 9.32314037748107
"11" "Real Estate and Rental and Leasing" 1.41753757512713 1.44791674203772
"12" "Professional, Scientific, and Technical Services" 5.87873278978184 9.57853969178485
"13" "Management of Companies and Enterprises" 2.38381266237708 5.5461205693219
"14" "Administrative and Support and Waste Management and Remediation Services" 7.94197516758642 5.8314947870392
"15" "Educational Services" 2.72305752336336 2.45785725348364
"16" "Health Care and Social Assistance" 16.1901417925386 16.4749287381907
"17" "Arts, Entertainment, and Recreation" 1.6962839681148 1.12344769274228
"18" "Accommodation and Food Services" 10.6792325286063 3.77344332309389
"19" "Other Services (except Public Administration)" 4.35371198970452 2.56856733780415
