"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.143384106400063 0.143827299523105
"2" "Mining, Quarrying, and Oil and Gas Extraction" 6.03239575220812 13.4572369816913
"3" "Utilities" 0.970484004370951 1.84227469912553
"4" "Construction" 6.5310705812037 8.58415046280429
"5" "Manufacturing" 7.20422122809242 7.29538305528082
"6" "Wholesale Trade" 6.52895755226728 8.49110814072036
"7" "Retail Trade" 14.3127524314926 8.34362905586184
"8" "Transportation and Warehousing" 5.50534596320915 6.6246990167245
"9" "Information" 2.13657411599925 2.69251505052384
"10" "Finance and Insurance" 5.10598349422539 6.18893290072258
"11" "Real Estate and Rental and Leasing" 1.52771992103309 1.66898830449443
"12" "Professional, Scientific, and Technical Services" 3.93053568302151 5.667659245042
"13" "Management of Companies and Enterprises" 1.47338489123938 2.23005757988229
"14" "Administrative and Support and Waste Management and Remediation Services" 3.62263718085717 2.77957986923752
"15" "Educational Services" 1.40667354910377 0.710336851015863
"16" "Health Care and Social Assistance" 17.4391296735672 17.0341777185876
"17" "Arts, Entertainment, and Recreation" 1.68740453637127 0.531263362678183
"18" "Accommodation and Food Services" 10.4770011893334 3.50070206763134
"19" "Other Services (except Public Administration)" 3.95589203025857 2.21041818314363
