"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0284071982785062 0.0217428732112059
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.211910663319073 0.30779166098636
"3" "Utilities" 0 0
"4" "Construction" 3.65832824517611 4.57772109985694
"5" "Manufacturing" 13.8638560836807 17.6196689137791
"6" "Wholesale Trade" 4.89555847298557 6.58433906857266
"7" "Retail Trade" 12.3836035938184 7.24387184257306
"8" "Transportation and Warehousing" 3.43315942352736 3.40349446869344
"9" "Information" 1.92579696812523 2.85300054999881
"10" "Finance and Insurance" 5.38896864060783 8.61408841046659
"11" "Real Estate and Rental and Leasing" 1.35310169447179 1.35097278527504
"12" "Professional, Scientific, and Technical Services" 5.12650987446965 7.56971609660954
"13" "Management of Companies and Enterprises" 3.42786055759461 7.22842772439499
"14" "Administrative and Support and Waste Management and Remediation Services" 7.94691371841211 5.4311545185149
"15" "Educational Services" 2.60156727701833 1.64275299526606
"16" "Health Care and Social Assistance" 17.7919647645204 17.6797711266367
"17" "Arts, Entertainment, and Recreation" 1.34245998861513 1.05501451450881
"18" "Accommodation and Food Services" 9.62504916841885 3.07279857700369
"19" "Other Services (except Public Administration)" 4.43906447092803 2.55164319681282
