"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0689558475708004 0.0630608211707672
"2" "Mining, Quarrying, and Oil and Gas Extraction" 4.27786754807563 8.85976229308571
"3" "Utilities" 0.575168386348887 1.10251706270845
"4" "Construction" 4.97470469658278 5.70995564983215
"5" "Manufacturing" 10.2779456980362 12.0747355842148
"6" "Wholesale Trade" 4.55514667291866 6.09129713581035
"7" "Retail Trade" 13.0682057611844 7.81310662804004
"8" "Transportation and Warehousing" 3.37569520902433 3.95997255063299
"9" "Information" 2.17141964000451 2.57214493155166
"10" "Finance and Insurance" 4.46427818934203 5.71613299063604
"11" "Real Estate and Rental and Leasing" 1.75216808677404 1.80095830623818
"12" "Professional, Scientific, and Technical Services" 5.57814498043569 7.85736822784724
"13" "Management of Companies and Enterprises" 2.42939112752771 5.96458130279258
"14" "Administrative and Support and Waste Management and Remediation Services" 7.19508298836255 5.64699012339248
"15" "Educational Services" 1.61647830227639 1.09425071191704
"16" "Health Care and Social Assistance" 16.3130380950411 15.9485654349866
"17" "Arts, Entertainment, and Recreation" 2.01236148494119 1.38777716892957
"18" "Accommodation and Food Services" 10.5463371803035 3.584006808603
"19" "Other Services (except Public Administration)" 4.74316628396171 2.7501872541466
