"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.847363777508704 0.783364769158984
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.101501771513939 0.123070496450743
"3" "Utilities" 0.607323822187084 1.2318147861278
"4" "Construction" 4.82595453102001 5.73551196276554
"5" "Manufacturing" 10.8669967429959 13.0071384615848
"6" "Wholesale Trade" 5.59037141287679 8.47262449693359
"7" "Retail Trade" 13.6960652662258 8.3108179768393
"8" "Transportation and Warehousing" 3.70950838379697 3.70417415710758
"9" "Information" 2.64836016700855 3.71843425339769
"10" "Finance and Insurance" 4.18350112172659 6.17019437747609
"11" "Real Estate and Rental and Leasing" 1.89472418140361 1.54485117497277
"12" "Professional, Scientific, and Technical Services" 6.44279561107513 10.3119272512441
"13" "Management of Companies and Enterprises" 3.0286251130344 6.39947600003051
"14" "Administrative and Support and Waste Management and Remediation Services" 6.06949791092633 4.2349955109511
"15" "Educational Services" 2.56277305186638 1.44597444783638
"16" "Health Care and Social Assistance" 15.6368466098482 16.7545460704739
"17" "Arts, Entertainment, and Recreation" 1.78816198920004 1.00821736552425
"18" "Accommodation and Food Services" 10.9012462569388 4.28566596462326
"19" "Other Services (except Public Administration)" 4.54257097240017 2.74738821693664
