"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0504720656752036 0.0356725437827282
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.673141432439397 1.13674340057185
"3" "Utilities" 0.574886307270995 1.27583659096842
"4" "Construction" 4.29140237669456 5.09701366858083
"5" "Manufacturing" 10.5998108796803 12.1695473619739
"6" "Wholesale Trade" 4.77853809373837 6.77550370375296
"7" "Retail Trade" 12.5616633611881 6.76322882074698
"8" "Transportation and Warehousing" 3.94397890890576 3.37495291201351
"9" "Information" 2.28728026563512 3.87301577219554
"10" "Finance and Insurance" 5.02490135796747 8.57138376939085
"11" "Real Estate and Rental and Leasing" 1.16219234093658 1.19218210038994
"12" "Professional, Scientific, and Technical Services" 6.07127297939564 9.80881814701927
"13" "Management of Companies and Enterprises" 3.3195297682657 7.2927687493552
"14" "Administrative and Support and Waste Management and Remediation Services" 5.84566729526216 4.2719565896413
"15" "Educational Services" 5.0062911137438 4.19584601510294
"16" "Health Care and Social Assistance" 18.7534579845686 17.4721686650306
"17" "Arts, Entertainment, and Recreation" 1.95034198741932 1.22552540669714
"18" "Accommodation and Food Services" 8.46243787234997 2.84941644122261
"19" "Other Services (except Public Administration)" 4.64076038130495 2.61740790535691
