"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.031267293170578 0.0357037801059023
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.00521121552842966 0.00883917303982805
"3" "Utilities" 0 0.0364037407981924
"4" "Construction" 1.0191648654886 1.44481721047153
"5" "Manufacturing" 2.73390292746236 2.83099969716577
"6" "Wholesale Trade" 1.35392342491011 1.75709802081776
"7" "Retail Trade" 1.19212759040839 0.999468666201762
"8" "Transportation and Warehousing" 0.372229680602119 0.355770930053969
"9" "Information" 0.267509063792723 0.283663409149875
"10" "Finance and Insurance" 0.441712554314514 0.809154560287296
"11" "Real Estate and Rental and Leasing" 0.298031897602096 0.263271992287706
"12" "Professional, Scientific, and Technical Services" 1.14944525369934 1.78580219400076
"13" "Management of Companies and Enterprises" 0.0905758889465156 0.22453697744825
"14" "Administrative and Support and Waste Management and Remediation Services" 1.11371120436154 0.780670209470468
"15" "Educational Services" 0.634775681986813 0.469043081423651
"16" "Health Care and Social Assistance" 3.04210910300092 2.97211987145019
"17" "Arts, Entertainment, and Recreation" 0.511939887388114 0.295152020182007
"18" "Accommodation and Food Services" 3.95630519855972 1.47838061490679
"19" "Other Services (except Public Administration)" 1.08393282991337 0.819717603461855
