"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.273552226777121 0.28047821009813
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.070648285196924 0.106815900215935
"3" "Utilities" 0.772223212417566 1.7013866284345
"4" "Construction" 4.38051657199538 4.77727443016211
"5" "Manufacturing" 13.7450953041493 18.1659508047202
"6" "Wholesale Trade" 4.09036781021313 5.82720724580563
"7" "Retail Trade" 14.3633646665582 8.86689679638948
"8" "Transportation and Warehousing" 3.19105517798977 3.37203156737386
"9" "Information" 2.11744663923395 3.09601990240272
"10" "Finance and Insurance" 4.18400584817981 6.15872336645995
"11" "Real Estate and Rental and Leasing" 1.50847650266449 1.50420392603846
"12" "Professional, Scientific, and Technical Services" 5.11108700200708 8.32919958787783
"13" "Management of Companies and Enterprises" 1.4530686153711 3.41021867523754
"14" "Administrative and Support and Waste Management and Remediation Services" 10.1048358557483 8.31848235020252
"15" "Educational Services" 1.97091925430541 1.28269611181688
"16" "Health Care and Social Assistance" 14.0634000552787 15.9345594490892
"17" "Arts, Entertainment, and Recreation" 1.63117462137944 0.794400904208031
"18" "Accommodation and Food Services" 11.928581945553 4.79468001474825
"19" "Other Services (except Public Administration)" 5.035659947976 3.27646585490371
