"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.143525314537361 0.160118523735082
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.308742860878506 0.528729311155564
"3" "Utilities" 0.608571105947237 1.18236534587861
"4" "Construction" 5.22871932629277 6.58458114017236
"5" "Manufacturing" 12.9541253870429 15.4804379926487
"6" "Wholesale Trade" 5.26645786655414 7.1042270984372
"7" "Retail Trade" 15.0942274891093 10.0535637417704
"8" "Transportation and Warehousing" 2.80275521059294 3.11020290799847
"9" "Information" 1.94427770811171 2.30436760575563
"10" "Finance and Insurance" 7.89418945341519 10.2229100683486
"11" "Real Estate and Rental and Leasing" 1.06707951242995 0.917393150795044
"12" "Professional, Scientific, and Technical Services" 3.33287769741417 4.15325902034722
"13" "Management of Companies and Enterprises" 1.51697045696321 3.4811079005457
"14" "Administrative and Support and Waste Management and Remediation Services" 3.22857669243981 2.91380195503664
"15" "Educational Services" 2.36207603572978 1.58699515378907
"16" "Health Care and Social Assistance" 18.8511437452084 22.0899919804785
"17" "Arts, Entertainment, and Recreation" 1.78322031581512 0.874797408941724
"18" "Accommodation and Food Services" 11.252325228957 4.59542882177612
"19" "Other Services (except Public Administration)" 4.35627559237622 2.65226257058717
