"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0648024548995818 0.0543720384957155
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.143683125807631 0.189838497197444
"3" "Utilities" 0.152641990540292 0.235373843591195
"4" "Construction" 4.04565266822722 4.48619427909369
"5" "Manufacturing" 12.6328098370041 15.0198663741459
"6" "Wholesale Trade" 4.7922247292823 6.69566807057431
"7" "Retail Trade" 13.1512721374614 7.90265135314723
"8" "Transportation and Warehousing" 5.50688616738487 5.34336277939912
"9" "Information" 2.02901221690521 2.74995443759507
"10" "Finance and Insurance" 4.66650199420063 7.48466676252325
"11" "Real Estate and Rental and Leasing" 1.31699577696181 1.31807624827877
"12" "Professional, Scientific, and Technical Services" 4.24163849956934 6.21285435957492
"13" "Management of Companies and Enterprises" 3.12899016103346 8.09290821687688
"14" "Administrative and Support and Waste Management and Remediation Services" 9.07729239217473 6.64388948829319
"15" "Educational Services" 2.3817781810689 1.93263586983897
"16" "Health Care and Social Assistance" 16.4488596005114 17.7878293054558
"17" "Arts, Entertainment, and Recreation" 1.34668801436149 1.29577273297583
"18" "Accommodation and Food Services" 10.2684801115336 3.74986710097969
"19" "Other Services (except Public Administration)" 4.60067566904589 2.80262595143002
