"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0732876197393835 0.0514908426776093
"2" "Mining, Quarrying, and Oil and Gas Extraction" 2.3675868738483 4.82241889695278
"3" "Utilities" 0.53858326358016 1.01044345169917
"4" "Construction" 5.90303811565798 6.30083398177563
"5" "Manufacturing" 8.22457559645246 9.85943173899268
"6" "Wholesale Trade" 5.17500640852271 7.15846963401101
"7" "Retail Trade" 12.4488320768137 6.63115320344115
"8" "Transportation and Warehousing" 4.10124064935847 4.38133925689548
"9" "Information" 2.33384654986205 3.57448230349988
"10" "Finance and Insurance" 5.1170115505267 7.52637375227211
"11" "Real Estate and Rental and Leasing" 1.83885300436999 1.83918858586334
"12" "Professional, Scientific, and Technical Services" 6.70004766422314 10.9199339100967
"13" "Management of Companies and Enterprises" 2.9887296623647 7.98051712366201
"14" "Administrative and Support and Waste Management and Remediation Services" 9.84313797204504 7.29061541171277
"15" "Educational Services" 1.81140089290479 1.29337611643966
"16" "Health Care and Social Assistance" 14.2940053764217 12.4784265583757
"17" "Arts, Entertainment, and Recreation" 1.25927872277421 0.743658609303529
"18" "Accommodation and Food Services" 10.454206787441 3.46226177756005
"19" "Other Services (except Public Administration)" 4.5209039754657 2.67269709143196
