"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.0391228270024071 0.0548761439590256
"2" "Mining, Quarrying, and Oil and Gas Extraction" 1.10972505709692 2.11490040941376
"3" "Utilities" 0 0
"4" "Construction" 5.5199601115234 6.22719226859286
"5" "Manufacturing" 10.1893021944264 13.2514218025452
"6" "Wholesale Trade" 5.15207481703776 6.99189621720971
"7" "Retail Trade" 12.4755132186602 7.91581508722516
"8" "Transportation and Warehousing" 4.38147650856314 4.7457464582252
"9" "Information" 3.14672647448239 5.09197565845601
"10" "Finance and Insurance" 4.98064400468354 7.63860410566175
"11" "Real Estate and Rental and Leasing" 1.7236453137576 1.5578674951777
"12" "Professional, Scientific, and Technical Services" 6.87497315557813 9.10331766701107
"13" "Management of Companies and Enterprises" 2.13448168323395 4.23933736969599
"14" "Administrative and Support and Waste Management and Remediation Services" 10.8359026168409 8.12344918507391
"15" "Educational Services" 3.90873456795887 2.47101936610078
"16" "Health Care and Social Assistance" 11.7808262666365 11.7436887240247
"17" "Arts, Entertainment, and Recreation" 2.0050682268489 0.949236554202006
"18" "Accommodation and Food Services" 8.93867893697957 3.23859513008446
"19" "Other Services (except Public Administration)" 4.313968623306 3.52821447788319
