"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.173660815188729 0.17720013101867
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.0161982972952611 0.0264657713724206
"3" "Utilities" 0 0.00732656403537504
"4" "Construction" 1.16590070067053 1.27468588273829
"5" "Manufacturing" 0.290439237549913 0.258190632165084
"6" "Wholesale Trade" 0.203420477661418 0.238003275466754
"7" "Retail Trade" 0.820085888646124 0.576880445463478
"8" "Transportation and Warehousing" 0.170270473894372 0.137475270226007
"9" "Information" 0.105477284713328 0.0854870619063216
"10" "Finance and Insurance" 0.222632411662774 0.292140189977072
"11" "Real Estate and Rental and Leasing" 0.281021622843366 0.275537504094333
"12" "Professional, Scientific, and Technical Services" 0.884502373238906 1.06246708155912
"13" "Management of Companies and Enterprises" 0 0
"14" "Administrative and Support and Waste Management and Remediation Services" 0.392149476380622 0.442696364231903
"15" "Educational Services" 0.102086943418971 0.0969118899443171
"16" "Health Care and Social Assistance" 0.583892111805922 0.692302653128071
"17" "Arts, Entertainment, and Recreation" 0.153318767422587 0.189966590239109
"18" "Accommodation and Food Services" 0.42567618473593 0.309141172617098
"19" "Other Services (except Public Administration)" 0.951555789949522 0.674243039633148
