"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.125500082382695 0.119899905162461
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.309266904071259 0.426023026477995
"3" "Utilities" 0.444575220903775 0.808482980891362
"4" "Construction" 5.44758405058071 5.39905187434855
"5" "Manufacturing" 7.51113299350876 7.97291162935228
"6" "Wholesale Trade" 3.3463559495682 4.04179453899859
"7" "Retail Trade" 13.434918156272 6.79820181160529
"8" "Transportation and Warehousing" 2.95833183620184 2.68580915209884
"9" "Information" 3.08464117885267 5.22680149346807
"10" "Finance and Insurance" 5.11860356637763 7.92788000479501
"11" "Real Estate and Rental and Leasing" 1.70064426828467 1.642063530524
"12" "Professional, Scientific, and Technical Services" 13.6441928616123 24.376466294203
"13" "Management of Companies and Enterprises" 2.06176857033815 4.28957009709902
"14" "Administrative and Support and Waste Management and Remediation Services" 7.95260065498289 6.54087634498419
"15" "Educational Services" 2.39511905998917 1.63642843357802
"16" "Health Care and Social Assistance" 13.1765375378612 12.1807509020406
"17" "Arts, Entertainment, and Recreation" 1.70543508907204 0.838841036173444
"18" "Accommodation and Food Services" 10.2949883159002 3.40265538733334
"19" "Other Services (except Public Administration)" 5.28320710491671 3.6837400539609
