"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.512809221504706 0.456653010985646
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.0884956876347813 0.12926648474922
"3" "Utilities" 0 0
"4" "Construction" 5.35119450124211 5.93453710478708
"5" "Manufacturing" 10.1012111206476 11.6570673940191
"6" "Wholesale Trade" 5.28204930607102 6.29682232171703
"7" "Retail Trade" 12.911732538086 7.19099022055845
"8" "Transportation and Warehousing" 3.65842866379557 3.5131321463236
"9" "Information" 4.91189174563883 12.5215366032559
"10" "Finance and Insurance" 4.07105568580559 5.6945464589207
"11" "Real Estate and Rental and Leasing" 1.94203574802356 1.58881550511873
"12" "Professional, Scientific, and Technical Services" 7.16963268361691 10.241086721331
"13" "Management of Companies and Enterprises" 2.86886929186936 6.26289679737149
"14" "Administrative and Support and Waste Management and Remediation Services" 5.71974304917185 4.68815960241085
"15" "Educational Services" 2.1912633161663 1.15061434752677
"16" "Health Care and Social Assistance" 15.7628180075598 14.4787844112313
"17" "Arts, Entertainment, and Recreation" 2.51442077455321 1.34210968543237
"18" "Accommodation and Food Services" 9.93480535394676 3.58243234892314
"19" "Other Services (except Public Administration)" 4.56874865827411 2.59300010411413
