"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.140790878959528 0.103718437806877
"2" "Mining, Quarrying, and Oil and Gas Extraction" 6.32471966914143 12.7809571571122
"3" "Utilities" 0 0
"4" "Construction" 4.39350360517821 5.39412746987989
"5" "Manufacturing" 8.64966708823413 12.3500679548415
"6" "Wholesale Trade" 3.54064905285352 4.48991000646419
"7" "Retail Trade" 14.8027116047227 9.14204012040261
"8" "Transportation and Warehousing" 2.54130987278785 2.73669443071179
"9" "Information" 1.82010169380399 2.27792910031506
"10" "Finance and Insurance" 3.12172717281218 3.7645694741636
"11" "Real Estate and Rental and Leasing" 1.04747723794521 1.00234275489244
"12" "Professional, Scientific, and Technical Services" 4.25029719643261 5.43376523961421
"13" "Management of Companies and Enterprises" 0.815413840640599 1.43290183891427
"14" "Administrative and Support and Waste Management and Remediation Services" 5.74602774753573 4.29373016313548
"15" "Educational Services" 1.81440794502254 1.3344794410136
"16" "Health Care and Social Assistance" 22.7730972095455 23.4643618250691
"17" "Arts, Entertainment, and Recreation" 2.11600409259761 1.19806986462275
"18" "Accommodation and Food Services" 10.7297833097244 4.00106147164923
"19" "Other Services (except Public Administration)" 4.43128939254602 2.77857700453814
