"NAICS_name" "Fraction_Employment" "Payroll"
"1" "Agriculture, Forestry, Fishing and Hunting" 0.12110404356899 0.117856121477271
"2" "Mining, Quarrying, and Oil and Gas Extraction" 0.0936850499507086 0.160572970464802
"3" "Utilities" 0.564077769475334 1.24687666779601
"4" "Construction" 3.72567610842851 5.40756939875067
"5" "Manufacturing" 18.1550994095498 22.0338381377782
"6" "Wholesale Trade" 4.75181624669559 6.4959660952595
"7" "Retail Trade" 12.3697754782103 6.90666350435829
"8" "Transportation and Warehousing" 3.94703738820481 3.68406484440553
"9" "Information" 2.25974368473599 2.97384580802817
"10" "Finance and Insurance" 5.83342228808362 9.171259517239
"11" "Real Estate and Rental and Leasing" 1.00638171843833 0.845352936300754
"12" "Professional, Scientific, and Technical Services" 4.53535271081753 6.03817520130895
"13" "Management of Companies and Enterprises" 2.9435022217757 6.32144748933461
"14" "Administrative and Support and Waste Management and Remediation Services" 5.79616594560993 3.91393655609788
"15" "Educational Services" 2.33969830734808 1.7385408370277
"16" "Health Care and Social Assistance" 16.1066284893809 16.3986706304686
"17" "Arts, Entertainment, and Recreation" 1.74284332870769 1.06536066193597
"18" "Accommodation and Food Services" 9.18620008330351 2.88759136540915
"19" "Other Services (except Public Administration)" 4.51220354521308 2.59035638488312
